Strategy,Date, Impressions ,Completes,Clicks,Installs,eRPM
Vungle A,01-Jun-14,"6,777,407.00","5,978,434.00","345,309.00","31,119.00",3.33
Vungle A,02-Jun-14,"6,004,310.00","5,331,727.00","299,732.00","24,601.00",2.94
Vungle A,03-Jun-14,"5,832,627.00","5,193,549.00","291,384.00","24,220.00",3.03
Vungle A,04-Jun-14,"5,875,702.00","5,227,917.00","295,099.00","23,382.00",2.99
Vungle A,05-Jun-14,"6,843,405.00","6,111,378.00","339,529.00","27,725.00",3.08
Vungle A,06-Jun-14,"7,790,350.00","6,981,471.00","392,987.00","31,820.00",3.14
Vungle A,07-Jun-14,"8,643,430.00","7,733,750.00","444,682.00","38,119.00",3.32
Vungle A,08-Jun-14,"8,929,848.00","7,993,169.00","449,680.00","38,260.00",3.27
Vungle A,09-Jun-14,"8,075,571.00","7,259,148.00","392,829.00","32,825.00",3.15
Vungle A,10-Jun-14,"7,726,694.00","6,941,293.00","382,769.00","31,609.00",3.24
Vungle A,11-Jun-14,"7,781,497.00","6,999,630.00","389,369.00","31,683.00",3.2
Vungle A,12-Jun-14,"7,770,595.00","6,984,082.00","391,254.00","30,985.00",3.21
Vungle A,13-Jun-14,"7,916,282.00","7,091,841.00","407,582.00","31,679.00",3.25
Vungle A,14-Jun-14,"8,724,061.00","7,782,877.00","459,952.00","36,773.00",3.48
Vungle A,15-Jun-14,"9,027,910.00","8,075,018.00","465,869.00","37,701.00",3.47
Vungle A,16-Jun-14,"7,957,999.00","7,149,399.00","395,612.00","31,098.00",3.25
Vungle A,17-Jun-14,"8,102,155.00","7,283,722.00","404,716.00","31,359.00",3.32
Vungle A,18-Jun-14,"8,043,855.00","7,229,427.00","407,014.00","32,414.00",3.46
Vungle A,19-Jun-14,"8,073,992.00","7,226,473.00","403,193.00","31,665.00",3.58
Vungle A,20-Jun-14,"8,085,480.00","7,224,975.00","406,766.00","30,473.00",3.48
Vungle A,21-Jun-14,"8,760,745.00","7,825,166.00","454,646.00","33,178.00",3.48
Vungle A,22-Jun-14,"8,884,803.00","7,937,481.00","453,647.00","33,543.00",3.46
Vungle A,23-Jun-14,"8,040,402.00","7,182,500.00","401,226.00","28,864.00",3.34
Vungle A,24-Jun-14,"7,882,136.00","7,013,876.00","389,975.00","30,302.00",3.33
Vungle A,25-Jun-14,"7,782,617.00","6,932,529.00","385,477.00","30,369.00",3.37
Vungle A,26-Jun-14,"7,734,447.00","6,887,125.00","388,935.00","30,920.00",3.53
Vungle A,27-Jun-14,"7,891,063.00","7,025,318.00","409,449.00","31,689.00",3.67
Vungle A,28-Jun-14,"8,460,726.00","7,487,623.00","457,487.00","34,664.00",3.83
Vungle A,29-Jun-14,"8,849,803.00","7,785,905.00","478,901.00","36,467.00",3.78
Vungle A,30-Jun-14,"8,189,490.00","7,233,880.00","411,884.00","32,160.00",3.48
Vungle B,01-Jun-14,"569,044.00","499,235.00","28,035.00","2,111.00",2.95
Vungle B,02-Jun-14,"505,963.00","447,695.00","24,621.00","1,713.00",2.59
Vungle B,03-Jun-14,"492,804.00","437,495.00","24,070.00","1,705.00",2.76
Vungle B,04-Jun-14,"498,772.00","442,791.00","25,023.00","1,801.00",3
Vungle B,05-Jun-14,"491,463.00","436,858.00","24,337.00","1,875.00",3.24
Vungle B,06-Jun-14,"509,657.00","454,702.00","25,223.00","1,932.00",3.43
Vungle B,07-Jun-14,"564,247.00","502,016.00","28,127.00","2,221.00",3.44
Vungle B,08-Jun-14,"575,302.00","512,228.00","28,200.00","2,203.00",3.46
Vungle B,09-Jun-14,"523,689.00","469,082.00","25,075.00","1,950.00",3.27
Vungle B,10-Jun-14,"504,636.00","452,753.00","24,414.00","1,914.00",3.39
Vungle B,11-Jun-14,"506,060.00","454,773.00","24,637.00","1,839.00",3.37
Vungle B,12-Jun-14,"505,083.00","452,687.00","24,879.00","1,812.00",3.32
Vungle B,13-Jun-14,"513,106.00","458,354.00","26,018.00","1,893.00",3.49
Vungle B,14-Jun-14,"562,772.00","499,196.00","29,088.00","2,076.00",3.53
Vungle B,15-Jun-14,"586,702.00","522,522.00","29,163.00","2,097.00",3.34
Vungle B,16-Jun-14,"516,148.00","462,646.00","24,635.00","1,805.00",3.3
Vungle B,17-Jun-14,"526,671.00","471,763.00","25,325.00","1,786.00",3.33
Vungle B,18-Jun-14,"526,713.00","471,137.00","25,761.00","1,912.00",3.6
Vungle B,19-Jun-14,"531,452.00","472,466.00","25,361.00","1,740.00",3.85
Vungle B,20-Jun-14,"420,187.00","373,085.00","20,629.00","1,360.00",3.89
Vungle B,21-Jun-14,"548,116.00","485,150.00","27,480.00","1,668.00",3.69
Vungle B,22-Jun-14,"581,785.00","515,575.00","28,701.00","1,816.00",3.64
Vungle B,23-Jun-14,"525,631.00","466,427.00","25,462.00","1,618.00",3.6
Vungle B,24-Jun-14,"517,748.00","455,814.00","24,808.00","1,715.00",3.42
Vungle B,25-Jun-14,"511,505.00","451,388.00","24,894.00","1,725.00",3.41
Vungle B,26-Jun-14,"508,097.00","448,333.00","25,111.00","1,773.00",3.72
Vungle B,27-Jun-14,"518,004.00","457,335.00","25,832.00","1,852.00",3.94
Vungle B,28-Jun-14,"562,854.00","494,686.00","28,491.00","2,041.00",4.07
Vungle B,29-Jun-14,"583,732.00","510,194.00","29,483.00","2,168.00",4.05
Vungle B,30-Jun-14,"537,433.00","470,054.00","26,669.00","1,910.00",3.69
